year,worksAcquired
1935,182
1937,6
1940,13
1941,47
1942,16
1944,1
1945,22
1947,48
1948,4
1949,37
1950,3
1952,27
1953,3
1954,5
1955,17
1956,43
1957,1
1958,11
1959,37
1960,29
1961,46
1962,39
1963,164
1964,118
1965,146
1966,125
1967,292
1968,388
1969,463
1970,99
1971,113
1972,133
1973,213
1974,987
1975,98
1976,74
1977,109
1978,96
1979,129
1980,96
1981,164
1982,91
1983,69
1984,81
1985,125
1986,156
1987,133
1988,123
1989,174
1990,261
1991,98
1992,187
1993,293
1994,112
1995,201
1996,276
1997,215
1998,345
1999,442
2000,72
2001,398
2002,104
2003,97
2004,145
2005,1359
2006,666
2007,571
2008,724
2009,480
2010,825
2011,305
2012,640
2013,327
2014,312
2015,94
